window_id,start_time,end_time,count,expected,z,q_value,pro_rate,delta_pro_rate,dup_fraction,near_dup_fraction,name_weirdness_mean,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,source_detectors,score_primary_driver,score_detector_breakdown,score_signal_breakdown,count_raw,count_exact_row_dedup,count_delta,count_relative_delta,pro_rate_raw,pro_rate_exact_row_dedup,pro_rate_delta,dup_fraction_raw,dup_fraction_exact_row_dedup,dup_fraction_delta
w_20260206T122900_20260206T122900,2026-02-06T12:29:00-08:00,2026-02-06T12:29:00-08:00,42.0,19.94164193867458,,0.0,0.11904761904761904,,0.0,0.3333333333333333,,80642,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122900_20260206T122900:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),42.0,42.0,0.0,0.0,0.11904761904761904,0.11904761904761904,0.0,0.0,0.0,0.0
w_20260206T122800_20260206T122800,2026-02-06T12:28:00-08:00,2026-02-06T12:28:00-08:00,36.0,19.94164193867458,,0.0,0.1111111111111111,,0.0,0.4444444444444444,,80600,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122800_20260206T122800:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),36.0,36.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
w_20260206T122700_20260206T122700,2026-02-06T12:27:00-08:00,2026-02-06T12:27:00-08:00,26.0,19.94164193867458,,0.0,0.07692307692307693,,0.0,0.6923076923076923,,80564,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122700_20260206T122700:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),26.0,26.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
w_20260206T122600_20260206T122600,2026-02-06T12:26:00-08:00,2026-02-06T12:26:00-08:00,52.0,19.94164193867458,,0.0,0.25,,0.0,0.5384615384615384,,80538,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122600_20260206T122600:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),52.0,52.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
w_20260206T122500_20260206T122500,2026-02-06T12:25:00-08:00,2026-02-06T12:25:00-08:00,32.0,19.94164193867458,,0.0,0.09375,,0.0,0.9375,,80486,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122500_20260206T122500:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),32.0,32.0,0.0,0.0,0.09375,0.09375,0.0,0.0,0.0,0.0
w_20260206T122400_20260206T122400,2026-02-06T12:24:00-08:00,2026-02-06T12:24:00-08:00,33.0,19.94164193867458,,0.0,0.12121212121212122,,0.0,1.0,,80454,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122400_20260206T122400:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),33.0,33.0,0.0,0.0,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0,0.0
w_20260206T122300_20260206T122300,2026-02-06T12:23:00-08:00,2026-02-06T12:23:00-08:00,44.0,19.94164193867458,,0.0,0.18181818181818182,,0.0,1.0,,80421,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122300_20260206T122300:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),44.0,44.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0
w_20260206T122200_20260206T122200,2026-02-06T12:22:00-08:00,2026-02-06T12:22:00-08:00,31.0,19.94164193867458,,0.0,0.3225806451612903,,0.0,1.0,,80377,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122200_20260206T122200:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),31.0,31.0,0.0,0.0,0.3225806451612903,0.3225806451612903,0.0,0.0,0.0,0.0
w_20260206T122100_20260206T122100,2026-02-06T12:21:00-08:00,2026-02-06T12:21:00-08:00,46.0,19.94164193867458,,0.0,0.17391304347826086,,0.0,1.0,,80346,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T122100_20260206T122100:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),46.0,46.0,0.0,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.0
w_20260206T121800_20260206T121800,2026-02-06T12:18:00-08:00,2026-02-06T12:18:00-08:00,35.0,19.94164193867458,,0.0,0.14285714285714285,,0.0,1.0,,80215,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121800_20260206T121800:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),35.0,35.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
w_20260206T121600_20260206T121600,2026-02-06T12:16:00-08:00,2026-02-06T12:16:00-08:00,36.0,19.94164193867458,,0.0,0.1111111111111111,,0.0,1.0,,80149,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121600_20260206T121600:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),36.0,36.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
w_20260206T121500_20260206T121500,2026-02-06T12:15:00-08:00,2026-02-06T12:15:00-08:00,43.0,19.94164193867458,,0.0,0.13953488372093023,,0.0,1.0,,80113,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121500_20260206T121500:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),43.0,43.0,0.0,0.0,0.13953488372093023,0.13953488372093023,0.0,0.0,0.0,0.0
w_20260206T121400_20260206T121400,2026-02-06T12:14:00-08:00,2026-02-06T12:14:00-08:00,27.0,19.94164193867458,,0.0,0.14814814814814814,,0.0,1.0,,80070,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121400_20260206T121400:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),27.0,27.0,0.0,0.0,0.14814814814814814,0.14814814814814814,0.0,0.0,0.0,0.0
w_20260206T121300_20260206T121300,2026-02-06T12:13:00-08:00,2026-02-06T12:13:00-08:00,30.0,19.94164193867458,,0.0,0.3,,0.0,1.0,,80043,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121300_20260206T121300:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),30.0,30.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
w_20260206T121200_20260206T121200,2026-02-06T12:12:00-08:00,2026-02-06T12:12:00-08:00,29.0,19.94164193867458,,0.0,0.3448275862068966,,0.0,1.0,,80013,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121200_20260206T121200:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),29.0,29.0,0.0,0.0,0.3448275862068966,0.3448275862068966,0.0,0.0,0.0,0.0
w_20260206T121100_20260206T121100,2026-02-06T12:11:00-08:00,2026-02-06T12:11:00-08:00,39.0,19.94164193867458,,0.0,0.1794871794871795,,0.0,1.0,,79984,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121100_20260206T121100:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),39.0,39.0,0.0,0.0,0.1794871794871795,0.1794871794871795,0.0,0.0,0.0,0.0
w_20260206T121000_20260206T121000,2026-02-06T12:10:00-08:00,2026-02-06T12:10:00-08:00,34.0,19.94164193867458,,0.0,0.11764705882352941,,0.0,1.0,,79945,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T121000_20260206T121000:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),34.0,34.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0
w_20260206T120900_20260206T120900,2026-02-06T12:09:00-08:00,2026-02-06T12:09:00-08:00,41.0,19.94164193867458,,0.0,0.12195121951219512,,0.0,1.0,,79911,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120900_20260206T120900:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),41.0,41.0,0.0,0.0,0.12195121951219512,0.12195121951219512,0.0,0.0,0.0,0.0
w_20260206T120800_20260206T120800,2026-02-06T12:08:00-08:00,2026-02-06T12:08:00-08:00,35.0,19.94164193867458,,0.0,0.11428571428571428,,0.0,1.0,,79870,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120800_20260206T120800:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),35.0,35.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0
